level_id,attempts,users,attempt_win_rate,first_attempt_win_rate,avg_attempt,median_attempt,avg_playtime,revive_rate,avg_unsolved_items,avg_move,failed_attempts,retries_after_fail,retry_after_fail_rate,users_reached,users_reached_next,dropoff_rate,is_priority
19,9078,8809,0.9826,0.9831,1.03,1.0,72.31,0.0165,0.16,31.82,158,151,0.9557,8839.0,8724.0,0.013,False
20,8828,8701,0.9991,0.9993,1.01,1.0,35.54,0.0,0.01,10.38,8,8,1.0,8724.0,8607.0,0.0134,False
21,8732,8580,0.9962,0.997,1.01,1.0,51.16,0.0009,0.03,18.4,33,32,0.9697,8607.0,8518.0,0.0103,False
22,9149,8436,0.9315,0.9361,1.1,1.0,68.63,0.066,0.47,22.87,627,606,0.9665,8518.0,8336.0,0.0214,False
23,8676,8266,0.9636,0.9642,1.05,1.0,62.31,0.0384,0.27,20.45,316,306,0.9684,8336.0,8221.0,0.0138,False
24,9411,8102,0.8622,0.8752,1.2,1.0,87.4,0.1065,1.04,23.81,1297,1218,0.9391,8221.0,7940.0,0.0342,False
25,8122,7891,0.9819,0.9833,1.03,1.0,75.64,0.0186,0.12,26.75,147,143,0.9728,7940.0,7815.0,0.0157,False
26,8042,7783,0.9779,0.9802,1.04,1.0,65.92,0.0259,0.14,20.97,178,172,0.9663,7815.0,7780.0,0.0045,False
27,9790,7653,0.7793,0.8124,1.39,1.0,92.01,0.1459,1.68,24.81,2161,2056,0.9514,7780.0,7503.0,0.0356,False
28,7591,7480,0.9968,0.9972,1.01,1.0,82.49,0.0013,0.04,25.62,24,24,1.0,7503.0,7521.0,-0.0024,False
29,10529,7383,0.696,0.7311,1.55,1.0,69.5,0.2168,2.02,18.61,3201,3062,0.9566,7521.0,7188.0,0.0443,False
30,7247,7154,0.9992,0.9992,1.01,1.0,74.34,0.0001,0.01,24.13,6,6,1.0,7188.0,7093.0,0.0132,False
31,9815,6965,0.7077,0.7651,1.63,1.0,99.4,0.2047,2.34,25.15,2869,2756,0.9606,7093.0,6809.0,0.04,False
32,8208,6725,0.8242,0.8409,1.28,1.0,95.64,0.153,1.24,25.38,1443,1383,0.9584,6809.0,6592.0,0.0319,False
33,6940,6531,0.952,0.9585,1.09,1.0,108.97,0.0463,0.42,28.25,333,322,0.967,6592.0,6441.0,0.0229,False
34,7401,6381,0.8672,0.8918,1.23,1.0,118.89,0.0894,1.19,30.23,983,938,0.9542,6441.0,6293.0,0.023,False
35,6851,6233,0.9177,0.927,1.13,1.0,114.03,0.076,0.71,30.2,564,538,0.9539,6293.0,6153.0,0.0222,False
36,7326,6091,0.8377,0.8758,1.29,1.0,100.15,0.0919,1.31,26.25,1189,1148,0.9655,6153.0,6071.0,0.0133,False
37,8054,5969,0.7425,0.7828,1.5,1.0,114.73,0.168,2.19,26.96,2074,2003,0.9658,6071.0,5863.0,0.0343,False
38,6308,5827,0.935,0.9441,1.11,1.0,126.29,0.0639,0.56,33.53,410,402,0.9805,5863.0,5760.0,0.0176,False
